,title,webpage_url,upload_date,view_count
131,6 Techniques That Help Me Study Machine Learning Five Days Per Week,https://www.youtube.com/watch?v=hsQ9efb6a7c,2021-09-25,50438
132,Machine Learning Algorithm- Which one to choose for your Problem?,https://www.youtube.com/watch?v=38SUUaMX5Rg,2019-05-30,85943
133,Python para Machine Learning (Curso - Aula 1),https://www.youtube.com/watch?v=MmSXHCxDwBs,2019-05-10,78515
134,Best Programming Language for Machine Learning,https://www.youtube.com/watch?v=ZLaOFF4Gl_s,2020-12-18,8800
135,Announcing Google's Machine Learning Virtual Community Day,https://www.youtube.com/watch?v=Ok336dUZMII,2021-10-13,2317562
136,Types Of Machine Learning | Machine Learning Algorithms | Machine Learning Tutorial | Simplilearn,https://www.youtube.com/watch?v=olFxW7kdtP8,2020-11-03,28906
137,Building smarter games with machine learning,https://www.youtube.com/watch?v=30y9zk5COqw,2020-08-05,14082
138,Using machine learning and AI in AppSheet,https://www.youtube.com/watch?v=PhU-fkRiW4k,2021-06-08,8166
139,How I Setup a Mac Air M1 for Machine Learning,https://www.youtube.com/watch?v=n9-uyZIn_Jw,2021-08-04,11353
140,Overview of AWS Machine Learning Infrastructure,https://www.youtube.com/watch?v=HXIjoBC1JMo,2020-05-12,9921
141,Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,2018-04-24,529966
142,How I Started a Career in Machine Learning - No PHD Required,https://www.youtube.com/watch?v=cC8A5VmEVtg,2019-04-24,25017
143,Not What but Why: Machine Learning for Understanding Genomics | Barbara Engelhardt | TEDxBoston,https://www.youtube.com/watch?v=uC3SfnbCXmw,2017-10-24,22993
144,Machine Learning (Aprendizado de Máquina) em 05 Minutos  | O Que é Machine Learning ?,https://www.youtube.com/watch?v=N1NPurZJAjc,2018-04-09,4501
145,AI Learns to Park - Deep Reinforcement Learning,https://www.youtube.com/watch?v=VMp6pq6_QjI,2019-08-23,1792648
146,Machine Learning for Computational Fluid Dynamics,https://www.youtube.com/watch?v=IXMSOSEj14Q,2021-11-18,45006
147,500+ Machine Learning And Deep Learning Projects All At One Place,https://www.youtube.com/watch?v=y7k-zCvOYxc,2021-01-03,91304
148,Machine Learning 101 - Whiteboard Friday,https://www.youtube.com/watch?v=iomUqPYcn5c,2020-12-15,1185
149,Guide To Learning Basic Math Required For Machine Learning! Best Courses For Machine Learning Math!,https://www.youtube.com/watch?v=9sHTr2luzjE,2021-06-02,9578
150,"100 Days Of Machine Learning Day 3 | Code Your First Model, Linear Regression",https://www.youtube.com/watch?v=i87kSI2c4iE,2021-10-04,11242
151,Netflix Machine Learning Mock Interview: Type-ahead Search,https://www.youtube.com/watch?v=12Ry6kGPQVs,2020-05-14,21733
152,Machine Learning In 5 Minutes | Machine Learning Introduction |What Is Machine Learning |Simplilearn,https://www.youtube.com/watch?v=-DEL6SVRPw0,2019-02-19,242376
153,What Does A Machine Learning Engineer At Amazon Do?,https://www.youtube.com/watch?v=opb2Bq4Qvyo,2021-05-28,53534
154,My Thoughts On Google's First Machine Learning Course! Game Changing?,https://www.youtube.com/watch?v=1cD8OcgkjH0,2021-06-08,18543
155,The Difference Between A.I. and Machine Learning and Deep Learning,https://www.youtube.com/watch?v=q7bKMHdxtPU,2018-02-22,64492
156,Machine Learning and Human Bias,https://www.youtube.com/watch?v=59bMh59JQDo,2017-08-25,924105
157,Predicting Network Behavior Using Machine Learning AI,https://www.youtube.com/watch?v=pjNXa7O5Wh0,2019-06-19,5637
